LCLid,tstp,energy(kWh/hh)
MAC000002,1/3/2013 7:30,0.075
MAC000002,1/3/2013 8:00,0.122
MAC000002,1/3/2013 8:30,0.099
MAC000002,1/3/2013 9:00,0.098
MAC000002,1/3/2013 9:30,0.12
MAC000002,1/3/2013 10:00,0.115
MAC000002,1/3/2013 10:30,0.426
MAC000002,1/3/2013 11:00,0.221
MAC000002,1/3/2013 11:30,0.126
MAC000002,1/3/2013 12:00,0.342
MAC000002,1/3/2013 12:30,0.139
MAC000002,1/3/2013 13:00,0.147
MAC000002,1/3/2013 13:30,0.2
MAC000002,1/3/2013 14:00,0.192
MAC000002,1/3/2013 14:30,0.159
MAC000002,1/3/2013 15:00,0.1
MAC000002,1/3/2013 15:30,0.137
MAC000002,1/3/2013 16:00,0.12
MAC000002,1/3/2013 16:30,0.191
MAC000002,1/3/2013 17:00,0.355
MAC000002,1/3/2013 17:30,0.379
MAC000002,1/3/2013 18:00,0.23
MAC000002,1/3/2013 18:30,0.261
MAC000002,1/3/2013 19:00,0.21
MAC000002,1/3/2013 19:30,0.243
MAC000002,1/3/2013 20:00,0.265
MAC000002,1/3/2013 20:30,1.098
MAC000002,1/3/2013 21:00,0.256
MAC000002,1/3/2013 21:30,0.218
MAC000002,1/3/2013 22:00,0.247
MAC000002,1/3/2013 22:30,0.276
MAC000002,1/3/2013 23:00,0.238
MAC000002,1/3/2013 23:30,0.286
MAC000002,1/4/2013 0:00,0.257
MAC000002,1/4/2013 0:30,0.263
MAC000002,1/4/2013 1:00,0.296
MAC000002,1/4/2013 1:30,0.284
MAC000002,1/4/2013 2:00,0.241
MAC000002,1/4/2013 2:30,0.246
MAC000002,1/4/2013 3:00,0.244
MAC000002,1/4/2013 3:30,0.254
MAC000002,1/4/2013 4:00,0.229
MAC000002,1/4/2013 4:30,0.271
MAC000002,1/4/2013 5:00,0.088
MAC000002,1/4/2013 5:30,0.134
MAC000002,1/4/2013 6:00,0.093
MAC000002,1/4/2013 6:30,0.112
MAC000002,1/4/2013 7:00,0.113
MAC000002,1/4/2013 7:30,0.091
MAC000002,1/4/2013 8:00,0.129
MAC000002,1/4/2013 8:30,0.072
MAC000002,1/4/2013 9:00,0.126
MAC000002,1/4/2013 9:30,0.094
MAC000002,1/4/2013 10:00,0.106
MAC000002,1/4/2013 10:30,0.153
MAC000002,1/4/2013 11:00,0.416
MAC000002,1/4/2013 11:30,0.144
MAC000002,1/4/2013 12:00,0.086
MAC000002,1/4/2013 12:30,0.125
MAC000002,1/4/2013 13:00,0.081
MAC000002,1/4/2013 13:30,0.125
MAC000002,1/4/2013 14:00,0.08
MAC000002,1/4/2013 14:30,0.118
MAC000002,1/4/2013 15:00,0.099
MAC000002,1/4/2013 15:30,0.098
MAC000002,1/4/2013 16:00,0.116
MAC000002,1/4/2013 16:30,0.088
MAC000002,1/4/2013 17:00,0.509
MAC000002,1/4/2013 17:30,0.449
MAC000002,1/4/2013 18:00,0.227
MAC000002,1/4/2013 18:30,0.201
MAC000002,1/4/2013 19:00,0.187
MAC000002,1/4/2013 19:30,0.242
MAC000002,1/4/2013 20:00,0.662
MAC000002,1/4/2013 20:30,0.601
MAC000002,1/4/2013 21:00,0.226
MAC000002,1/4/2013 21:30,0.228
MAC000002,1/4/2013 22:00,0.227
MAC000002,1/4/2013 22:30,0.176
MAC000002,1/4/2013 23:00,0.252
MAC000002,1/4/2013 23:30,0.198
MAC000002,1/5/2013 0:00,0.195
MAC000002,1/5/2013 0:30,0.208
MAC000002,1/5/2013 1:00,0.171
MAC000002,1/5/2013 1:30,0.226
MAC000002,1/5/2013 2:00,0.188
MAC000002,1/5/2013 2:30,0.207
MAC000002,1/5/2013 3:00,0.21
MAC000002,1/5/2013 3:30,0.114
MAC000002,1/5/2013 4:00,0.13
MAC000002,1/5/2013 4:30,0.088
MAC000002,1/5/2013 5:00,0.116
MAC000002,1/5/2013 5:30,0.109
MAC000002,1/5/2013 6:00,0.092
MAC000002,1/5/2013 6:30,0.124
MAC000002,1/5/2013 7:00,0.075
MAC000002,1/5/2013 7:30,0.12
MAC000002,1/5/2013 8:00,0.098
MAC000002,1/5/2013 8:30,0.098
MAC000002,1/5/2013 9:00,0.121
MAC000002,1/5/2013 9:30,0.108
MAC000002,1/5/2013 10:00,0.123
MAC000002,1/5/2013 10:30,0.512
MAC000002,1/5/2013 11:00,0.422
MAC000002,1/5/2013 11:30,0.193
MAC000002,1/5/2013 12:00,0.117
MAC000002,1/5/2013 12:30,0.247
MAC000002,1/5/2013 13:00,0.153
MAC000002,1/5/2013 13:30,0.123
MAC000002,1/5/2013 14:00,0.126
MAC000002,1/5/2013 14:30,0.096
MAC000002,1/5/2013 15:00,0.743
MAC000002,1/5/2013 15:30,0.362
MAC000002,1/5/2013 16:00,0.36
MAC000002,1/5/2013 16:30,0.255
MAC000002,1/5/2013 17:00,0.257
MAC000002,1/5/2013 17:30,0.272
MAC000002,1/5/2013 18:00,0.388
MAC000002,1/5/2013 18:30,0.2
MAC000002,1/5/2013 19:00,1.181
MAC000002,1/5/2013 19:30,0.228
MAC000002,1/5/2013 20:00,0.184
MAC000002,1/5/2013 20:30,0.222
MAC000002,1/5/2013 21:00,0.289
MAC000002,1/5/2013 21:30,0.232
MAC000002,1/5/2013 22:00,0.285
MAC000002,1/5/2013 22:30,0.251
MAC000002,1/5/2013 23:00,0.27
MAC000002,1/5/2013 23:30,0.282
MAC000002,1/6/2013 0:00,0.257
MAC000002,1/6/2013 0:30,0.268
MAC000002,1/6/2013 1:00,0.213
MAC000002,1/6/2013 1:30,0.27
MAC000002,1/6/2013 2:00,0.233
MAC000002,1/6/2013 2:30,0.234
MAC000002,1/6/2013 3:00,0.125
MAC000002,1/6/2013 3:30,0.09
MAC000002,1/6/2013 4:00,0.131
MAC000002,1/6/2013 4:30,0.083
MAC000002,1/6/2013 5:00,0.122
MAC000002,1/6/2013 5:30,0.105
MAC000002,1/6/2013 6:00,0.1
MAC000002,1/6/2013 6:30,0.125
MAC000002,1/6/2013 7:00,0.078
MAC000002,1/6/2013 7:30,0.126
MAC000002,1/6/2013 8:00,0.091
MAC000002,1/6/2013 8:30,0.109
MAC000002,1/6/2013 9:00,0.112
MAC000002,1/6/2013 9:30,0.118
MAC000002,1/6/2013 10:00,0.456
MAC000002,1/6/2013 10:30,0.266
MAC000002,1/6/2013 11:00,0.153
MAC000002,1/6/2013 11:30,0.21
MAC000002,1/6/2013 12:00,0.15
MAC000002,1/6/2013 12:30,0.168
MAC000002,1/6/2013 13:00,0.233
MAC000002,1/6/2013 13:30,0.324
MAC000002,1/6/2013 14:00,0.183
MAC000002,1/6/2013 14:30,0.098
MAC000002,1/6/2013 15:00,0.179
MAC000002,1/6/2013 15:30,0.158
MAC000002,1/6/2013 16:00,0.155
MAC000002,1/6/2013 16:30,0.197
MAC000002,1/6/2013 17:00,0.131
MAC000002,1/6/2013 17:30,0.288
MAC000002,1/6/2013 18:00,0.264
MAC000002,1/6/2013 18:30,0.3
MAC000002,1/6/2013 19:00,0.3
MAC000002,1/6/2013 19:30,0.288
MAC000002,1/6/2013 20:00,1.092
MAC000002,1/6/2013 20:30,0.211
MAC000002,1/6/2013 21:00,0.256
MAC000002,1/6/2013 21:30,0.266
MAC000002,1/6/2013 22:00,0.242
MAC000002,1/6/2013 22:30,0.278
MAC000002,1/6/2013 23:00,0.216
MAC000002,1/6/2013 23:30,0.241
MAC000002,1/7/2013 0:00,0.241
MAC000002,1/7/2013 0:30,0.229
MAC000002,1/7/2013 1:00,0.169
MAC000002,1/7/2013 1:30,0.089
MAC000002,1/7/2013 2:00,0.118
MAC000002,1/7/2013 2:30,0.108
MAC000002,1/7/2013 3:00,0.095
MAC000002,1/7/2013 3:30,0.127
MAC000002,1/7/2013 4:00,0.077
MAC000002,1/7/2013 4:30,0.126
MAC000002,1/7/2013 5:00,0.099
MAC000002,1/7/2013 5:30,0.103
MAC000002,1/7/2013 6:00,0.12
MAC000002,1/7/2013 6:30,0.079
MAC000002,1/7/2013 7:00,0.122
MAC000002,1/7/2013 7:30,0.086
MAC000002,1/7/2013 8:00,0.108
MAC000002,1/7/2013 8:30,0.15
MAC000002,1/7/2013 9:00,0.087
MAC000002,1/7/2013 9:30,0.581
MAC000002,1/7/2013 10:00,0.162
MAC000002,1/7/2013 10:30,0.141
MAC000002,1/7/2013 11:00,0.102
MAC000002,1/7/2013 11:30,0.138
MAC000002,1/7/2013 12:00,0.107
MAC000002,1/7/2013 12:30,0.379
MAC000002,1/7/2013 13:00,0.237
MAC000002,1/7/2013 13:30,0.117
MAC000002,1/7/2013 14:00,0.156
MAC000002,1/7/2013 14:30,0.091
MAC000002,1/7/2013 15:00,0.128
MAC000002,1/7/2013 15:30,0.117
MAC000002,1/7/2013 16:00,0.094
MAC000002,1/7/2013 16:30,0.219
MAC000002,1/7/2013 17:00,0.222
MAC000002,1/7/2013 17:30,0.224
MAC000002,1/7/2013 18:00,0.218
MAC000002,1/7/2013 18:30,0.189
MAC000002,1/7/2013 19:00,0.727
MAC000002,1/7/2013 19:30,0.723
MAC000002,1/7/2013 20:00,0.256
MAC000002,1/7/2013 20:30,0.213
MAC000002,1/7/2013 21:00,0.268
MAC000002,1/7/2013 21:30,0.256
MAC000002,1/7/2013 22:00,0.252
MAC000002,1/7/2013 22:30,0.276
MAC000002,1/7/2013 23:00,0.236
MAC000002,1/7/2013 23:30,0.277
MAC000002,1/8/2013 0:00,0.229
MAC000002,1/8/2013 0:30,0.251
MAC000002,1/8/2013 1:00,0.223
MAC000002,1/8/2013 1:30,0.104
MAC000002,1/8/2013 2:00,0.131
MAC000002,1/8/2013 2:30,0.075
MAC000002,1/8/2013 3:00,0.13
MAC000002,1/8/2013 3:30,0.093
MAC000002,1/8/2013 4:00,0.112
MAC000002,1/8/2013 4:30,0.111
MAC000002,1/8/2013 5:00,0.093
MAC000002,1/8/2013 5:30,0.126
MAC000002,1/8/2013 6:00,0.075
MAC000002,1/8/2013 6:30,0.125
MAC000002,1/8/2013 7:00,0.088
MAC000002,1/8/2013 7:30,0.111
MAC000002,1/8/2013 8:00,0.105
MAC000002,1/8/2013 8:30,0.125
MAC000002,1/8/2013 9:00,0.488
MAC000002,1/8/2013 9:30,0.169
MAC000002,1/8/2013 10:00,0.158
MAC000002,1/8/2013 10:30,0.106
MAC000002,1/8/2013 11:00,0.096
MAC000002,1/8/2013 11:30,0.122
MAC000002,1/8/2013 12:00,0.103
MAC000002,1/8/2013 12:30,0.123
MAC000002,1/8/2013 13:00,0.136
MAC000002,1/8/2013 13:30,0.488
MAC000002,1/8/2013 14:00,0.424
MAC000002,1/8/2013 14:30,0.186
MAC000002,1/8/2013 15:00,0.324
MAC000002,1/8/2013 15:30,0.34
MAC000002,1/8/2013 16:00,0.156
MAC000002,1/8/2013 16:30,0.124
MAC000002,1/8/2013 17:00,0.16
MAC000002,1/8/2013 17:30,0.24
MAC000002,1/8/2013 18:00,0.232
MAC000002,1/8/2013 18:30,0.356
MAC000002,1/8/2013 19:00,0.385
MAC000002,1/8/2013 19:30,1.2410001
MAC000002,1/8/2013 20:00,0.779
MAC000002,1/8/2013 20:30,0.301
MAC000002,1/8/2013 21:00,0.338
MAC000002,1/8/2013 21:30,0.498
MAC000002,1/8/2013 22:00,0.301
MAC000002,1/8/2013 22:30,0.303
MAC000002,1/8/2013 23:00,0.362
MAC000002,1/8/2013 23:30,0.294
MAC000002,1/9/2013 0:00,0.266
MAC000002,1/9/2013 0:30,0.263
MAC000002,1/9/2013 1:00,0.242
MAC000002,1/9/2013 1:30,0.295
MAC000002,1/9/2013 2:00,0.24
MAC000002,1/9/2013 2:30,0.227
MAC000002,1/9/2013 3:00,0.26
MAC000002,1/9/2013 3:30,0.166
MAC000002,1/9/2013 4:00,0.129
MAC000002,1/9/2013 4:30,0.11
MAC000002,1/9/2013 5:00,0.096
MAC000002,1/9/2013 5:30,0.129
MAC000002,1/9/2013 6:00,0.077
MAC000002,1/9/2013 6:30,0.125
MAC000002,1/9/2013 7:00,0.108
MAC000002,1/9/2013 7:30,0.196
MAC000002,1/9/2013 8:00,0.151
MAC000002,1/9/2013 8:30,0.083
MAC000002,1/9/2013 9:00,0.164
MAC000002,1/9/2013 9:30,0.138
MAC000002,1/9/2013 10:00,0.648
MAC000002,1/9/2013 10:30,0.326
MAC000002,1/9/2013 11:00,0.36
MAC000002,1/9/2013 11:30,0.226
MAC000002,1/9/2013 12:00,0.271
MAC000002,1/9/2013 12:30,0.387
MAC000002,1/9/2013 13:00,0.172
MAC000002,1/9/2013 13:30,0.174
MAC000002,1/9/2013 14:00,0.141
MAC000002,1/9/2013 14:30,0.135
MAC000002,1/9/2013 15:00,0.101
MAC000002,1/9/2013 15:30,0.158
MAC000002,1/9/2013 16:00,0.08
MAC000002,1/9/2013 16:30,0.148
MAC000002,1/9/2013 17:00,0.09
MAC000002,1/9/2013 17:30,0.59
MAC000002,1/9/2013 18:00,0.394
MAC000002,1/9/2013 18:30,0.296
MAC000002,1/9/2013 19:00,0.285
MAC000002,1/9/2013 19:30,0.645
MAC000002,1/9/2013 20:00,0.854
MAC000002,1/9/2013 20:30,0.221
MAC000002,1/9/2013 21:00,0.904
MAC000002,1/9/2013 21:30,1.133
MAC000002,1/9/2013 22:00,1.143
MAC000002,1/9/2013 22:30,1.107
MAC000002,1/9/2013 23:00,0.573
MAC000002,1/9/2013 23:30,0.232
MAC000002,1/10/2013 0:00,0.166
MAC000002,1/10/2013 0:30,0.173
MAC000002,1/10/2013 1:00,0.181
MAC000002,1/10/2013 1:30,0.157
MAC000002,1/10/2013 2:00,0.193
MAC000002,1/10/2013 2:30,0.147
MAC000002,1/10/2013 3:00,0.194
MAC000002,1/10/2013 3:30,0.149
MAC000002,1/10/2013 4:00,0.121
MAC000002,1/10/2013 4:30,0.105
MAC000002,1/10/2013 5:00,0.093
MAC000002,1/10/2013 5:30,0.12
MAC000002,1/10/2013 6:00,0.075
MAC000002,1/10/2013 6:30,0.121
MAC000002,1/10/2013 7:00,0.076
MAC000002,1/10/2013 7:30,0.117
MAC000002,1/10/2013 8:00,0.09
MAC000002,1/10/2013 8:30,0.1
MAC000002,1/10/2013 9:00,0.105
MAC000002,1/10/2013 9:30,0.085
MAC000002,1/10/2013 10:00,0.161
MAC000002,1/10/2013 10:30,0.304
MAC000002,1/10/2013 11:00,0.795
MAC000002,1/10/2013 11:30,0.543
MAC000002,1/10/2013 12:00,0.249
MAC000002,1/10/2013 12:30,0.688
MAC000002,1/10/2013 13:00,0.163
MAC000002,1/10/2013 13:30,0.173
MAC000002,1/10/2013 14:00,0.157
MAC000002,1/10/2013 14:30,0.189
MAC000002,1/10/2013 15:00,0.119
MAC000002,1/10/2013 15:30,0.183
MAC000002,1/10/2013 16:00,0.119
MAC000002,1/10/2013 16:30,0.133
MAC000002,1/10/2013 17:00,0.166
MAC000002,1/10/2013 17:30,0.109
MAC000002,1/10/2013 18:00,0.315
MAC000002,1/10/2013 18:30,0.229
MAC000002,1/10/2013 19:00,0.278
MAC000002,1/10/2013 19:30,0.255
MAC000002,1/10/2013 20:00,1.095
MAC000002,1/10/2013 20:30,0.259
MAC000002,1/10/2013 21:00,0.208
MAC000002,1/10/2013 21:30,0.274
MAC000002,1/10/2013 22:00,0.237
MAC000002,1/10/2013 22:30,0.269
MAC000002,1/10/2013 23:00,0.261
MAC000002,1/10/2013 23:30,0.241
MAC000002,1/11/2013 0:00,0.253
MAC000002,1/11/2013 0:30,0.204
MAC000002,1/11/2013 1:00,0.263
MAC000002,1/11/2013 1:30,0.225
MAC000002,1/11/2013 2:00,0.143
MAC000002,1/11/2013 2:30,0.115
MAC000002,1/11/2013 3:00,0.089
MAC000002,1/11/2013 3:30,0.123
MAC000002,1/11/2013 4:00,0.075
MAC000002,1/11/2013 4:30,0.121
MAC000002,1/11/2013 5:00,0.091
MAC000002,1/11/2013 5:30,0.103
MAC000002,1/11/2013 6:00,0.107
MAC000002,1/11/2013 6:30,0.086
MAC000002,1/11/2013 7:00,0.117
MAC000002,1/11/2013 7:30,0.074
MAC000002,1/11/2013 8:00,0.116
MAC000002,1/11/2013 8:30,0.078
MAC000002,1/11/2013 9:00,0.25
MAC000002,1/11/2013 9:30,0.48
MAC000002,1/11/2013 10:00,0.096
MAC000002,1/11/2013 10:30,0.118
MAC000002,1/11/2013 11:00,0.08
MAC000002,1/11/2013 11:30,0.116
MAC000002,1/11/2013 12:00,0.075
MAC000002,1/11/2013 12:30,0.118
MAC000002,1/11/2013 13:00,0.445
MAC000002,1/11/2013 13:30,0.375
MAC000002,1/11/2013 14:00,0.124
MAC000002,1/11/2013 14:30,0.165
MAC000002,1/11/2013 15:00,0.52
MAC000002,1/11/2013 15:30,0.257
MAC000002,1/11/2013 16:00,0.224
MAC000002,1/11/2013 16:30,0.156
MAC000002,1/11/2013 17:00,0.358
MAC000002,1/11/2013 17:30,0.383
MAC000002,1/11/2013 18:00,0.36
MAC000002,1/11/2013 18:30,0.344
MAC000002,1/11/2013 19:00,0.322
MAC000002,1/11/2013 19:30,0.335
MAC000002,1/11/2013 20:00,1.1109999
MAC000002,1/11/2013 20:30,0.255
MAC000002,1/11/2013 21:00,0.237
MAC000002,1/11/2013 21:30,0.269
MAC000002,1/11/2013 22:00,0.269
MAC000002,1/11/2013 22:30,0.251
MAC000002,1/11/2013 23:00,0.287
MAC000002,1/11/2013 23:30,0.216
MAC000002,1/12/2013 0:00,0.259
MAC000002,1/12/2013 0:30,0.226
MAC000002,1/12/2013 1:00,0.263
MAC000002,1/12/2013 1:30,0.277
MAC000002,1/12/2013 2:00,0.254
MAC000002,1/12/2013 2:30,0.262
MAC000002,1/12/2013 3:00,0.09
MAC000002,1/12/2013 3:30,0.124
MAC000002,1/12/2013 4:00,0.09
MAC000002,1/12/2013 4:30,0.107
MAC000002,1/12/2013 5:00,0.107
MAC000002,1/12/2013 5:30,0.089
MAC000002,1/12/2013 6:00,0.12
MAC000002,1/12/2013 6:30,0.074
MAC000002,1/12/2013 7:00,0.117
MAC000002,1/12/2013 7:30,0.075
MAC000002,1/12/2013 8:00,0.118
MAC000002,1/12/2013 8:30,0.086
MAC000002,1/12/2013 9:00,0.103
MAC000002,1/12/2013 9:30,0.099
MAC000002,1/12/2013 10:00,0.142
MAC000002,1/12/2013 10:30,0.362
MAC000002,1/12/2013 11:00,0.257
MAC000002,1/12/2013 11:30,0.357
MAC000002,1/12/2013 12:00,0.31
MAC000002,1/12/2013 12:30,0.187
MAC000002,1/12/2013 13:00,0.119
MAC000002,1/12/2013 13:30,0.115
MAC000002,1/12/2013 14:00,0.094
MAC000002,1/12/2013 14:30,0.105
MAC000002,1/12/2013 15:00,0.331
MAC000002,1/12/2013 15:30,0.316
MAC000002,1/12/2013 16:00,0.176
MAC000002,1/12/2013 16:30,0.16
MAC000002,1/12/2013 17:00,0.23
MAC000002,1/12/2013 17:30,0.214
MAC000002,1/12/2013 18:00,0.228
MAC000002,1/12/2013 18:30,0.219
MAC000002,1/12/2013 19:00,0.227
MAC000002,1/12/2013 19:30,0.308
MAC000002,1/12/2013 20:00,1.1289999
MAC000002,1/12/2013 20:30,0.622
MAC000002,1/12/2013 21:00,0.259
MAC000002,1/12/2013 21:30,0.203
MAC000002,1/12/2013 22:00,0.26
MAC000002,1/12/2013 22:30,0.224
MAC000002,1/12/2013 23:00,0.239
MAC000002,1/12/2013 23:30,0.253
MAC000002,1/13/2013 0:00,0.255
MAC000002,1/13/2013 0:30,0.247
MAC000002,1/13/2013 1:00,0.219
MAC000002,1/13/2013 1:30,0.263
MAC000002,1/13/2013 2:00,0.212
MAC000002,1/13/2013 2:30,0.264
MAC000002,1/13/2013 3:00,0.2
MAC000002,1/13/2013 3:30,0.122
MAC000002,1/13/2013 4:00,0.098
MAC000002,1/13/2013 4:30,0.099
MAC000002,1/13/2013 5:00,0.113
MAC000002,1/13/2013 5:30,0.084
MAC000002,1/13/2013 6:00,0.121
MAC000002,1/13/2013 6:30,0.074
MAC000002,1/13/2013 7:00,0.118
MAC000002,1/13/2013 7:30,0.074
MAC000002,1/13/2013 8:00,0.117
MAC000002,1/13/2013 8:30,0.082
MAC000002,1/13/2013 9:00,0.11
MAC000002,1/13/2013 9:30,0.128
MAC000002,1/13/2013 10:00,0.105
MAC000002,1/13/2013 10:30,0.521
MAC000002,1/13/2013 11:00,0.342
MAC000002,1/13/2013 11:30,0.188
MAC000002,1/13/2013 12:00,0.15
MAC000002,1/13/2013 12:30,0.336
MAC000002,1/13/2013 13:00,0.176
MAC000002,1/13/2013 13:30,0.575
MAC000002,1/13/2013 14:00,0.119
MAC000002,1/13/2013 14:30,0.116
MAC000002,1/13/2013 15:00,0.152
MAC000002,1/13/2013 15:30,0.221
MAC000002,1/13/2013 16:00,0.154
MAC000002,1/13/2013 16:30,0.095
MAC000002,1/13/2013 17:00,0.158
MAC000002,1/13/2013 17:30,0.071
MAC000002,1/13/2013 18:00,0.158
MAC000002,1/13/2013 18:30,0.098
MAC000002,1/13/2013 19:00,0.133
MAC000002,1/13/2013 19:30,0.261
MAC000002,1/13/2013 20:00,1.206
MAC000002,1/13/2013 20:30,0.469
MAC000002,1/13/2013 21:00,0.258
MAC000002,1/13/2013 21:30,0.275
MAC000002,1/13/2013 22:00,0.244
MAC000002,1/13/2013 22:30,0.277
MAC000002,1/13/2013 23:00,0.231
MAC000002,1/13/2013 23:30,0.271
MAC000002,1/14/2013 0:00,0.204
MAC000002,1/14/2013 0:30,0.247
MAC000002,1/14/2013 1:00,0.235
MAC000002,1/14/2013 1:30,0.24
MAC000002,1/14/2013 2:00,0.247
MAC000002,1/14/2013 2:30,0.164
MAC000002,1/14/2013 3:00,0.128
MAC000002,1/14/2013 3:30,0.075
MAC000002,1/14/2013 4:00,0.122
MAC000002,1/14/2013 4:30,0.074
MAC000002,1/14/2013 5:00,0.119
MAC000002,1/14/2013 5:30,0.086
MAC000002,1/14/2013 6:00,0.104
MAC000002,1/14/2013 6:30,0.099
MAC000002,1/14/2013 7:00,0.094
MAC000002,1/14/2013 7:30,0.106
MAC000002,1/14/2013 8:00,0.082
MAC000002,1/14/2013 8:30,0.114
MAC000002,1/14/2013 9:00,0.119
MAC000002,1/14/2013 9:30,0.115
MAC000002,1/14/2013 10:00,0.487
MAC000002,1/14/2013 10:30,0.184
MAC000002,1/14/2013 11:00,0.14
MAC000002,1/14/2013 11:30,0.18
MAC000002,1/14/2013 12:00,0.151
MAC000002,1/14/2013 12:30,0.341
MAC000002,1/14/2013 13:00,0.275
MAC000002,1/14/2013 13:30,0.913
MAC000002,1/14/2013 14:00,0.691
MAC000002,1/14/2013 14:30,0.824
MAC000002,1/14/2013 15:00,0.169
MAC000002,1/14/2013 15:30,0.166
MAC000002,1/14/2013 16:00,0.467
MAC000002,1/14/2013 16:30,0.222
MAC000002,1/14/2013 17:00,0.217
MAC000002,1/14/2013 17:30,0.233
MAC000002,1/14/2013 18:00,0.286
MAC000002,1/14/2013 18:30,0.285
MAC000002,1/14/2013 19:00,0.257
MAC000002,1/14/2013 19:30,0.271
